profile type,profile name,parameter name,parameter value
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.7.max_retx_threshold,1
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.7.t_reordering,40
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.7.t_status_prohibit,0
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.7.sn_field_length,10
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.7.discard_timer,500
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.7.sn_size,12
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.7.rohc_max_cid,0
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.7.lc_priority,1
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.7.prioritised_bit_rate,8
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.7.bucket_size_duration,100
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.7.logicalChannelGroup,0
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.8.dscp_outer,CS1
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.8.dscp_inner,CS1
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.8.rlc_mode,AM
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.8.t_poll_retransmit,125
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.8.poll_pdu,16
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.8.poll_byte,50
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.8.max_retx_threshold,32
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.8.t_reordering,40
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.8.t_status_prohibit,60
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.8.sn_field_length,10
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.8.discard_timer,1500
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.8.sn_size,12
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.8.rohc_max_cid,0
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.8.lc_priority,1
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.8.prioritised_bit_rate,8
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.8.bucket_size_duration,100
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.8.logicalChannelGroup,0
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.9.dscp_outer,CS1
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.9.dscp_inner,CS1
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.9.rlc_mode,AM
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.9.t_poll_retransmit,125
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.9.poll_pdu,16
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.9.poll_byte,50
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.9.max_retx_threshold,32
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.9.t_reordering,40
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.9.t_status_prohibit,60
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.9.sn_field_length,10
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.9.discard_timer,1500
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.9.sn_size,12
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.9.rohc_max_cid,0
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.9.lc_priority,1
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.9.prioritised_bit_rate,8
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.9.bucket_size_duration,100
QoSProfile,QoS_SR4.5,ENBFunction.QoS.QCI.9.logicalChannelGroup,0
